Zipcode,Zillow_value_per_Zip,State,City,Street,Bedroom,Bathroom,Area,PPSq,LotArea,Latitude,Longitude,ListedPrice
85201,358007.4316,AZ,Mesa,W University Dr,3,2,2118,330.0283286,0.5,34.748478,-112.00463,699000
85202,388921.3967,AZ,Mesa,W Kiowa Cir,6,4,2843,422.0541681,0.51,34.47979,-114.29006,1199900
85203,440321.5773,AZ,Mesa,E Kramer St,3,2,2041,188.633023,0.16,32.063164,-110.70426,385000
85204,389227.5002,AZ,Mesa,S Val Vista Dr UNIT 15,6,3,3883,83.69817152,0.142033976,33.407936,-112.042816,325000
85205,402756.3558,AZ,Mesa,N Higley Rd UNIT 16,4,7,7052,765.7402155,1.1868,33.622505,-111.7699,5400000
85206,389560.7566,AZ,Mesa,E Elena Ave,3,3,1794,386.9565217,1.05,34.22923,-110.035286,694200
85207,546814.5217,AZ,Mesa,N Avery Cir,3,2,1490,221.4765101,0.14,32.230038,-110.89825,330000
85207,546814.5217,AZ,Mesa,E Trailridge Cir,3,2,2839,146.1782318,1,34.28684,-110.11174,415000
85207,546814.5217,AZ,Mesa,E Quill St,4,2,2722,293.901543,0.255004591,33.529926,-112.05212,800000
85208,379383.8905,AZ,Mesa,S Essex Ln,3,2,2007,423.4678625,0.164003673,33.62519,-111.88431,849900
85208,379383.8905,AZ,Mesa,E Arcadia Ave,4,2,1877,212.5732552,0.161799816,32.629612,-114.37691,399000
85208,379383.8905,AZ,Mesa,S 72nd St,3,3,1800,244.4444444,0.174242424,32.63597,-114.37674,440000
85209,445784.2042,AZ,Mesa,S Luther,3,2,1110,252.2522523,0.153351699,32.67806,-114.65254,280000
85209,445784.2042,AZ,Mesa,E Jan Cir,4,4,2981,402.54948,0.25879247,33.85822,-112.10148,1200000
85209,445784.2042,AZ,Mesa,S Terripin Cir,3,2.5,1350,296.2222222,0.210009183,34.592148,-112.321434,399900
85210,359546.4589,AZ,Mesa,E 7th Ave,4,3,3209,288.2517918,0.286707989,33.55144,-112.06824,925000
85212,559897.457,AZ,Mesa,E Supernova Dr,3,2,1536,269.5703125,0.109274564,33.323486,-111.564705,414060
85212,559897.457,AZ,Mesa,S 101st Way,5,3,2780,219.4244604,0.12943067,33.318844,-111.72774,610000
85212,559897.457,AZ,Mesa,S Oxley,3,2,1558,262.3106547,0.109274564,33.323128,-111.567024,408680
85212,559897.457,AZ,Mesa,S Veneto,3,2.5,2006,233.7986042,0.275482094,33.654556,-112.2512,469000
85212,559897.457,AZ,Mesa,E Unity Ave,3,2,1930,272.0207254,0.14,34.55461,-112.24062,525000
85215,490455.4159,AZ,Mesa,E Northridge Cir,3,2,1550,200,0.53,31.52082,-110.99875,310000
85215,490455.4159,AZ,Mesa,E Minton Pl,3,3.5,1820,346.1538462,0.03030303,33.445976,-111.93072,630000
85224,449872.3668,AZ,Chandler,W Palo Verde Dr,3,2,1888,225.1059322,0.160192837,33.393864,-111.67646,425000
85224,449872.3668,AZ,Chandler,W Palomino Dr,4,4.5,3409,410.3842769,1.1008,33.829777,-112.09097,1399000
85224,449872.3668,AZ,Chandler,N Chippewa Pl,4,2.5,2275,325.2703297,0.155945822,33.31978,-111.764114,739990
85225,444004.2773,AZ,Chandler,S Kingston St,3,2,1991,276.2425917,0.177410468,33.345856,-111.86261,549999
85225,444004.2773,AZ,Chandler,W Folley St,4,2,1860,201.0698925,0.164164371,32.937656,-111.725716,373990
85225,444004.2773,AZ,Chandler,S Danyell Dr,3,2,1249,344.2754203,0.160996327,33.339924,-111.8646,430000
85225,444004.2773,AZ,Chandler,W Sundance Way,3,2,2545,182.7111984,0.180945822,31.532938,-110.26487,465000
85226,494529.3414,AZ,Chandler,N Meadowlark Ln,3,2.5,2313,453.5235625,0.125688705,33.291054,-111.733284,1049000
85226,494529.3414,AZ,Chandler,W Dublin St,3,2,1334,311.0944528,0.16838843,33.59577,-112.10863,415000
85226,494529.3414,AZ,Chandler,W Jupiter Way N,3,2,1670,227.5449102,0.126721763,33.59231,-112.38084,380000
85233,520090.4464,AZ,Gilbert,S Oak Ct,4,2.5,3144,184.4767812,0.200918274,33.26226,-111.57066,579995
85233,520090.4464,AZ,Gilbert,E Sagebrush St,4,3,3817,314.1210375,0.59,34.45725,-114.31655,1199000
85248,559557.5863,AZ,Chandler,W Champagne Dr,5,2.5,2655,352.165725,0.371671258,33.613144,-111.95715,935000
85248,559557.5863,AZ,Chandler,W Honeysuckle Ln,4,3,2817,312.3887114,0.417814509,33.687134,-112.242744,879999
85248,559557.5863,AZ,Chandler,S Thistle Dr,3,2,1190,273.1092437,0.118801653,33.62232,-112.38353,325000
85249,662463.1264,AZ,Chandler,E Aquarius Pl,4,3.5,3747,393.6482519,1.303,33.83899,-112.13298,1475000
85249,662463.1264,AZ,Chandler,E Sagittarius Ct,1,1,1104,249.0942029,0.998025712,34.42246,-110.54745,275000
85249,662463.1264,AZ,Chandler,E Victoria St,3,2,1056,132.5757576,0.164141414,32.678486,-114.63007,140000
85281,417568.72,AZ,Tempe,E Weber Dr #1018,3,2,1668,248.8009592,0.134090909,33.61481,-112.3738,415000
85282,462766.0308,AZ,Tempe,E Fairmont Dr,4,5,4887,838.9605075,2.44,32.468678,-110.973366,4100000
85284,691799.8341,AZ,Tempe,E Jeanine Dr,3,3,2141,293.7879496,0.15,32.14853,-110.779144,629000
85284,691799.8341,AZ,Tempe,W Palomino Dr,4,3,2208,185.2309783,0.12,31.949856,-110.97859,408990
85284,691799.8341,AZ,Tempe,W Myrna Ln,3,3,3083,430.1005514,0.26,32.2404,-110.94056,1326000
85295,547964.7732,AZ,Gilbert,S Rochester Dr,4,3,2494,295.5092221,0.32,32.22705,-110.8629,737000
85295,547964.7732,AZ,Gilbert,S Sailors Ct,3,2,2450,277.1428571,0.165082645,33.212807,-111.84494,679000
85295,547964.7732,AZ,Gilbert,E John St,5,4.5,3131,167.6748643,0.235169881,33.582794,-112.41495,524990
85295,547964.7732,AZ,Gilbert,E Jones St,2,2,1066,280.4878049,0.14,32.309563,-111.024826,299000
85296,542716.3452,AZ,Gilbert,E Temple Ct,4,3,2376,319.4444444,1.02,32.26519,-110.74705,759000
85297,584581.5385,AZ,Gilbert,E Longhorn Ct,4,2,1922,221.1238293,1.68,32.936195,-109.8325,425000
85298,663457.4044,AZ,Gilbert,E Packard Dr,4,3,2391,171.0539523,0.11,32.113514,-110.84715,408990
85298,663457.4044,AZ,Gilbert,S Joslyn Ln,3,2,1353,317.7383592,0.22,34.505756,-114.3257,429900
