Zipcode,State,City,Street,Bedroom,Bathroom,Area,PPSq,LotArea,Latitude,Longitude,ListedPrice,PriceTier
85383,AZ,Peoria,W Red Range Way,4,2,1311,49.58047292,2.35,35.050457,-114.22941,65000,less than 250
85928,AZ,Heber,Aspen Ln,2,1,872,143.3486239,0.04,33.391224,-110.78092,125000,less than 250
85249,AZ,Chandler,E Victoria St,3,2,1056,132.5757576,0.164141414,32.678486,-114.63007,140000,less than 250
85741,AZ,Tucson,W Firebrook Rd,2,2,1020,139.2156863,0.14,32.720356,-110.64304,142000,less than 250
86305,AZ,Prescott,Bear Dr,3,2,1215,148.1481481,0.17,32.816208,-109.721275,180000,less than 250
85260,AZ,Scottsdale,E Charter Oak Dr,3,2,1008,193.452381,0.135146924,32.70818,-114.67869,195000,less than 250
85901,AZ,Show Low,Lone Pine Dam Rd,2,1,1196,167.1404682,0.11,33.394638,-110.7775,199900,less than 250
85027,AZ,Phoenix,W Topeka Dr,3,2,1063,206.0206961,0.192745638,31.56351,-110.30145,219000,less than 250
85743,AZ,Tucson,W Summer Sun Ln,3,1,1008,217.7579365,1.73,31.459599,-111.012924,219500,less than 250
85367,AZ,Yuma,E 54th Dr,3,1,900,248.8888889,0.12,32.20102,-110.91127,224000,less than 250
85735,AZ,Tucson,S Postvale Rd,3,2,1869,120.11771,0.4,31.680025,-109.68759,224500,less than 250
85757,AZ,Tucson,W Jadewood Ln,3,2,1195,188.2845188,0.19,34.86016,-114.60029,225000,less than 250
85022,AZ,Phoenix,E Greenway Rd,3,2,1046,229.4455067,0.19,32.132957,-111.12572,240000,less than 250
85132,AZ,Florence,E Marigold Ln,3,2,1002,244.510978,0.114738292,33.396057,-110.7806,245000,less than 250
85383,AZ,Peoria,N 82nd Ave,2,1,822,302.3114355,0.17,32.19166,-110.959854,248500,less than 250
85374,AZ,Surprise,W Rimrock St,2,1,670,373.1343284,0.20087236,33.495827,-112.05465,250000,less than 250
85375,AZ,Sun City West,W Prospect Dr,2,1,852,293.42723,0.20087236,33.49568,-112.05464,250000,less than 250
85387,AZ,Surprise,W Gray Fox Trl,3,2,1664,151.6826923,0.38,34.09769,-109.284294,252400,between 251 and 300
85718,AZ,Tucson,N Campo Abierto,3,2,1246,204.5746388,0.137741047,32.70762,-114.68164,254900,between 251 and 300
85351,AZ,Sun City,W El Dorado Dr,3,2,1631,159.411404,0.174747475,31.52825,-110.28656,260000,between 251 and 300
85739,AZ,Saddlebrooke,S Terrace Park Dr,3,2,1603,162.1958827,0.15,32.20426,-110.886444,260000,between 251 and 300
85019,AZ,Phoenix,W Berridge Ln,2,2,1455,184.8797251,0.26,31.878593,-110.988235,269000,between 251 and 300
85379,AZ,Surprise,W Gelding Dr,2,2,1476,182.2493225,0.16,31.842342,-110.99371,269000,between 251 and 300
85013,AZ,Phoenix,W Roma Ave,1,1,704,383.5227273,0.67,34.731953,-111.995346,270000,between 251 and 300
85024,AZ,Phoenix,N 15th Pl,3,2,1224,220.5882353,0.26,32.152058,-110.90399,270000,between 251 and 300
85249,AZ,Chandler,E Sagittarius Ct,1,1,1104,249.0942029,0.998025712,34.42246,-110.54745,275000,between 251 and 300
85266,AZ,Scottsdale,N Pima Rd UNIT 19,2,1,952,288.8655462,0.144605142,33.3988,-111.98287,275000,between 251 and 300
85387,AZ,Surprise,W Smoketree Dr,3,2,1432,192.0391061,0.17,32.2959,-110.98946,275000,between 251 and 300
86314,AZ,Prescott Valley,N Treasure Cir,3,2,1443,190.5751906,0.27,35.38631,-113.853615,275000,between 251 and 300
85375,AZ,Sun City West,W Beardsley Rd,3,2,1230,226.8292683,0.18,32.197136,-110.89895,279000,between 251 and 300
86406,AZ,Lake Havasu City,Clearwater Dr,4,2,1586,176.481715,0.2,32.179726,-110.97345,279900,between 251 and 300
85209,AZ,Mesa,S Luther,3,2,1110,252.2522523,0.153351699,32.67806,-114.65254,280000,between 251 and 300
85255,AZ,Scottsdale,N 98th Way,4,2,1200,233.3333333,0.217860422,33.6347,-112.33314,280000,between 251 and 300
85715,AZ,Tucson,N Arbor Cir,3,2,1823,156.3357104,0.27,32.244297,-110.99288,285000,between 251 and 300
86303,AZ,Prescott,E Rockefeller Trl,3,2,1114,255.8348294,0.17,32.14429,-110.90337,285000,between 251 and 300
85379,AZ,Surprise,W Cortez St,2,2,1214,242.7100494,1.08,31.988941,-110.71631,294650,between 251 and 300
85757,AZ,Tucson,W Jadewood Ln,4,2,1223,241.1283729,0.13,32.182182,-110.84216,294900,between 251 and 300
86314,AZ,Prescott Valley,E Kilkenny Pl,4,3,2239,131.7105851,0.24,35.118996,-114.58014,294900,between 251 and 300
85710,AZ,Tucson,S Avenida Regulo,3,2,1215,242.7983539,0.23,32.20035,-110.85089,295000,between 251 and 300
86336,AZ,Sedona,El Camino Rd,3,2,1593,185.1851852,0.144237833,35.273354,-114.01941,295000,between 251 and 300
85711,AZ,Tucson,N Erin Ave,3,2,1470,203.3945578,0.169926538,32.93468,-111.72661,298990,between 251 and 300
85295,AZ,Gilbert,E Jones St,2,2,1066,280.4878049,0.14,32.309563,-111.024826,299000,between 251 and 300
86046,AZ,Williams,Bellavista Loop,4,2,1461,204.6543463,0.229935721,32.6785,-114.501884,299000,between 251 and 300
85745,AZ,Tucson,W Goret Rd,3,2,1703,176.1597181,0.170661157,32.90007,-111.74962,300000,between 251 and 300
85648,AZ,Rio Rico,Camino Oceano,3,2,1450,210.3448276,0.2,32.210716,-110.85358,305000,between 301 and 350
85364,AZ,Yuma,S Mojave Ln,3,2,1258,245.6279809,0.156152433,33.154575,-111.44382,309000,between 301 and 350
85215,AZ,Mesa,E Northridge Cir,3,2,1550,200,0.53,31.52082,-110.99875,310000,between 301 and 350
85020,AZ,Phoenix,E Northern Ave,3,3,1479,211.5618661,0.04,32.146755,-110.76594,312900,between 301 and 350
85310,AZ,Glendale,W Paraiso Dr,3,2,1232,254.6590909,0.12,31.949917,-110.97925,313740,between 301 and 350
85658,AZ,Marana,W Folsom Point Dr,3,2,1389,226.7818575,0.14,32.46253,-111.208015,315000,between 301 and 350
85713,AZ,Tucson,E 37th St,4,2,1741,183.222286,0.244605142,32.93475,-111.72613,318990,between 301 and 350
86314,AZ,Prescott Valley,N Robert Rd,3,2,1284,248.8317757,0.1,32.112144,-110.855545,319500,between 301 and 350
85718,AZ,Tucson,N Camino Katrina,4,2,1741,183.7966686,0.164164371,32.93468,-111.72683,319990,between 301 and 350
85035,AZ,Phoenix,W La Reata Ave,2,2,1827,175.15052,0.227915519,33.6578,-112.28296,320000,between 301 and 350
85340,AZ,Litchfield Park,W Earll Dr,3,2,1691,189.2371378,0.132300275,33.071293,-112.05554,320000,between 301 and 350
86305,AZ,Prescott,N Silent Moon Ln,3,2,1667,191.9616077,0.26,32.15025,-111.00264,320000,between 301 and 350
86413,AZ,Golden Valley,W Rosario Ct,2,2,1107,289.0695574,0.046120294,33.606922,-112.11309,320000,between 301 and 350
85204,AZ,Mesa,S Val Vista Dr UNIT 15,6,3,3883,83.69817152,0.142033976,33.407936,-112.042816,325000,between 301 and 350
85248,AZ,Chandler,S Thistle Dr,3,2,1190,273.1092437,0.118801653,33.62232,-112.38353,325000,between 301 and 350
85262,AZ,Scottsdale,N 92nd Way,3,2,1543,210.6286455,0.2,32.185616,-110.78412,325000,between 301 and 350
85742,AZ,Tucson,W Lobo Rd,3,2,1630,199.3865031,0.123943985,33.054462,-112.02219,325000,between 301 and 350
85020,AZ,Phoenix,N 2nd St,2,2,1554,211.7117117,0.13,31.875372,-110.99967,329000,between 301 and 350
85340,AZ,Litchfield Park,N 145th Dr,3,2,1176,279.7619048,0.23,34.47282,-114.272125,329000,between 301 and 350
85614,AZ,Green Valley,E Canyon Crossing Dr,3,2,1258,262.3203498,0.157575758,33.15211,-111.441315,329999,between 301 and 350
85207,AZ,Mesa,N Avery Cir,3,2,1490,221.4765101,0.14,32.230038,-110.89825,330000,between 301 and 350
85622,AZ,Green Valley,S Calle Murrillo,4,3,1632,202.2058824,0.07,32.141434,-110.76105,330000,between 301 and 350
86326,AZ,Cottonwood,S Gray Bar Dr,3,2,1502,219.7070573,0.14,35.264065,-113.97277,330000,between 301 and 350
85543,AZ,Pima,W Tinsley Pl,3,2,1578,212.2230672,0.15,32.370472,-111.12723,334888,between 301 and 350
85925,AZ,Eagar,E 7th Ln,3,2,1414,236.9165488,0.21,32.175457,-110.82511,335000,between 301 and 350
