Zipcode,Zillow_value
85003,584908.2331
85004,445080.857
85006,418856.7727
85007,414950.5322
85008,364850.4607
85009,285493.7243
85012,668437.4812
85013,486583.8996
85014,434795.7069
85015,347868.1627
85016,507496.753
85017,310600.5399
85018,884992.2231
85019,331359.5447
85020,406415.6173
85021,444178.3349
85022,457014.9254
85023,421224.0237
85024,486415.7788
85027,384826.5768
85028,668758.058
85029,362833.5149
85031,326560.9254
85032,443559.9686
85033,327424.5668
85034,296241.1367
85035,323898.2314
85037,353677.3357
85040,320387.9533
85041,368321.8415
85042,388808.5045
85043,369246.0708
85044,481592.4795
85045,655778.1775
85048,569940.4317
85050,611144.3607
85051,349224.1638
85053,381308.5227
85054,631847.0681
85083,619454.0045
85085,645658.3981
85086,613616.2227
85087,604070.3898
85118,494069.1491
85119,425369.2153
85120,352704.0503
85122,319024.6726
85123,267756.1133
85128,290271.482
85131,286284.7894
85132,347842.4738
85137,166996.0512
85138,364200.9246
85139,353175.1006
85140,435768.7085
85142,567502.0835
85143,386961.6011
85145,302200.5711
85173,168169.7577
85192,121027.1205
85193,359919.0224
85194,369543.2768
85201,358007.4316
85202,388921.3967
85203,440321.5773
85204,389227.5002
85205,402756.3558
85206,389560.7566
85207,546814.5217
85208,379383.8905
85209,445784.2042
85210,359546.4589
85212,559897.457
85213,540879.519
85215,490455.4159
85224,449872.3668
85225,444004.2773
85226,494529.3414
85233,520090.4464
85234,549477.9999
85248,559557.5863
85249,662463.1264
85250,592518.8338
85251,517409.9983
85253,2735122.935
85254,834171.9132
85255,1186977.339
85257,543899.0834
85258,807810.917
85259,1075685.799
85260,676715.3485
85262,1423146.354
85263,811992.799
85264,1181552.625
85266,1231823.766
85268,637926.2412
85281,417568.72
85282,462766.0308
85283,456337.3922
85284,691799.8341
85286,608216.7614
85295,547964.7732
85296,542716.3452
85297,584581.5385
85298,663457.4044
85301,314712.1327
85302,379910.2828
85303,374054.5689
85304,403592.5207
85305,461581.5696
85306,404295.3617
85307,402579.2986
85308,477696.8411
85310,535391.5313
85320,432643.2818
85321,115779.8475
85322,346700.4236
85323,387662.4365
85324,356068.3188
85325,152194.1094
85326,370650.3376
85331,818810.7258
85332,330924.8911
85335,350618.4243
85336,239802.9677
85337,162600.3716
85338,441307.4416
85339,433924.124
85340,522848.2534
85342,385785.609
85344,380901.0796
85345,366937.4215
85346,184620.1902
85348,173063.7203
85349,247438.3092
85350,256911.5269
85351,286671.3888
85353,392092.5871
85354,375947.168
85355,519204.309
85356,248938.6815
85361,511500.4864
85362,237431.0392
85363,316087.6106
85364,249347.5463
85365,314377.3427
85367,326992.6633
85373,373633.9099
85374,401557.5823
85375,390619.987
85377,1158240.504
85378,349518.0565
85379,435507.2273
85381,455521.2806
85382,456265.212
85383,646945.8074
85387,469591.8166
85388,447675.1939
85390,523829.4241
85392,416205.0632
85395,550447.2434
85396,463928.8109
85501,211981.3277
85534,179477.6646
85539,135197.4013
85541,436102.7373
85543,277725.6567
85544,465418.0578
85545,222119.0845
85546,242621.8361
85552,300810.921
85553,306138.8627
85554,349731.4715
85602,243541.7327
85603,214289.4971
85606,222294.839
85607,156046.4287
85610,179571.3855
85611,485463.3425
85614,305960.187
85615,368001.4926
85616,192111.833
85617,177020.1159
85619,502258.7486
85621,203669.0364
85622,363370.0657
85623,527503.5712
85624,409510.0544
85625,185447.9767
85629,345649.49
85630,305368.95
85631,159873.4531
85632,225822.6031
85635,255977.8381
85637,535313.3433
85638,217975.7308
85640,446900.2397
85641,412797.5475
85643,180029.1171
85645,243877.3944
85646,507261.0405
85648,253004.4628
85650,349079.172
85653,379073.5851
85658,526853.786
85701,407350.0199
85704,442298.7781
85705,251951.7315
85706,250922.1232
85710,299195.3378
85711,278917.5836
85712,286320.6488
85713,235324.1031
85714,227879.3963
85715,382418.5541
85716,309101.0924
85718,706861.0048
85719,340630.6179
85730,283735.8166
85735,335049.8903
85736,264691.7814
85737,487275.2909
85739,491377.7128
85741,324449.9377
85742,385564.5498
85743,401822.9489
85745,357859.8554
85746,282594.3154
85747,367268.0496
85748,374604.5547
85749,627173.4104
85750,591598.0426
85755,511323.5881
85756,303789.9174
85757,323033.9758
85901,412723.1306
85920,393943.3092
85924,241596.8949
85925,291909.7061
85927,537769.8059
85928,439371.326
85929,388322.6118
85931,504974.5226
85932,410376.2694
85933,363659.2905
85935,514421.2282
85936,214211.6034
85937,327234.1121
85938,230150.7813
85939,346311.5696
85940,367747.0739
86001,636969.0946
86004,577826.3514
86005,708738.9572
86015,530393.7974
86017,575786.3532
86018,587664.5064
86021,316106.7824
86022,263261.085
86024,489122.9703
86025,182086.3035
86038,338833.389
86040,351788.6941
86046,402184.1838
86047,178933.0645
86301,533726.9405
86303,567400.7798
86305,701274.6021
86314,420016.6773
86315,589808.3641
86320,183886.8887
86322,409301.3928
86323,480471.2384
86324,454501.2478
86325,503290.622
86326,385771.4473
86327,449841.1883
86332,328014.3871
86333,294973.4917
86334,413619.3022
86335,340104.2384
86336,1001619.207
86337,161450.9937
86343,269266.6691
86351,812230.1391
86401,275018.8997
86403,394488.2426
86404,510123.9126
86406,485760.6814
86409,258110.2748
86413,237782.3023
86426,327459.451
86429,396108.1484
86432,355697.6626
86436,222294.495
86438,201625.3758
86440,299002.0299
86441,117920.7394
86442,272506.6746
86444,188615.2998
