,Zipcode,Zillow_value_per_Zip_x,Unnamed: 0,Zillow_value_per_Zip_y,State,City,Street,Bedroom,Bathroom,Area,PPSq,LotArea,Latitude,Longitude,ListedPrice,PriceTier
0,85006,418856.7727,0,418856.7727,AZ,Phoenix,N Dayton St,2,2.0,1855,256.06469,0.145087236,33.071648,-111.454926,475000,between 451 and 500
1,85007,414950.5322,1,414950.5322,AZ,Phoenix,W Lynwood St,2,3.0,2423,531.9851424,0.98,34.590916,-112.44415,1289000,between 1.25 and 1.5
2,85009,285493.7243,2,285493.7243,AZ,Phoenix,W Virginia Ave,4,2.0,1706,199.2960141,0.28,32.194954,-110.87046,339999,between 301 and 350
3,85012,668437.4812,3,668437.4812,AZ,Phoenix,E Tuckey Ln,4,3.0,2827,256.4556067,0.175,33.448963,-111.67128,725000,between 701 and 750
4,85013,486583.8996,4,486583.8996,AZ,Phoenix,W Roma Ave,1,1.0,704,383.5227273,0.67,34.731953,-111.995346,270000,between 251 and 300
5,85014,434795.7069,8,434795.7069,AZ,Phoenix,N Longview Ave,2,2.0,1120,302.6785714,0.23,34.516693,-114.2995,339000,between 301 and 350
6,85014,434795.7069,7,434795.7069,AZ,Phoenix,N Longview Ave,5,2.0,2040,188.7254902,0.099977043,33.397583,-111.752014,385000,between 351 and 400
7,85014,434795.7069,5,434795.7069,AZ,Phoenix,N 13th Pl,3,2.0,1454,299.1059147,0.108080808,33.850014,-112.09675,434900,between 401 and 450
8,85014,434795.7069,9,434795.7069,AZ,Phoenix,N 10th Way,5,3.0,3058,359.7122302,0.29,34.49078,-114.342155,1100000,between a million and 1.25
9,85014,434795.7069,6,434795.7069,AZ,Phoenix,E Ocotillo Rd,6,6.0,6429,699.9533364,0.471166208,35.15945,-111.63412,4500000,between 4 and 4.5
10,85015,347868.1627,10,347868.1627,AZ,Phoenix,W Whitton Ave,4,2.0,2260,210.1769912,0.17,32.377716,-111.12587,475000,between 451 and 500
11,85016,507496.753,11,507496.753,AZ,Phoenix,E Weldon Ave,4,5.0,4518,265.6042497,0.94,32.320312,-110.94595,1200000,between a million and 1.25
